palabra,frecuencia
murcia,206
cuerpo,206
agresión,205
pregunto,205
2000,205
catalán,205
aumentado,205
podcast,205
verdaderamente,205
eléctrico,205
parar,205
hice,204
masa,204
destruir,204
13,203
emisiones,203
industrial,203
intención,203
concretamente,203
herencia,202
estructura,202
perú,202
hablo,202
posteriormente,202
argumentos,202
comer,201
propias,201
sitios,201
agentes,201
uco,201
imágenes,200
rico,200
presupuesto,200
georgia,200
podamos,200
parecer,200
conviene,200
quiénes,200
determinado,199
analizar,199
ejecutivo,199
libros,199
feliz,199
nacionales,199
instancia,199
encantado,199
nota,199
alimentos,199
bajas,199
cápita,198
personales,198
provincia,198
extranjero,198
canarias,198
crea,198
empezado,198
eléctrica,198
efectivo,198
ocurrir,198
necesitan,197
abrir,197
criminal,197
venía,197
argentinos,197
gobierna,196
junta,196
responder,196
aliados,196
gallegos,196
imperio,196
crecido,196
pase,195
distinto,195
memoria,195
querían,195
producido,195
rentas,195
curso,195
pleno,195
anual,194
muchísima,194
terceros,194
cuyo,194
logrado,194
actuales,193
imponer,193
generado,193
sufriendo,193
pobre,193
enemigo,193
profesionales,193
piso,193
antonio,193
dejando,192
banca,192
cotización,192
abierto,192
moción,192
venta,192
texto,192
david,192
estafa,192
cerrar,192
sesión,191
entrado,191
propuestas,191
contado,191
esquerra,191
diputado,191
pocas,191
pequeños,190
encuentra,190
increíble,190
sergio,190
beneficio,190
reflexión,189
estudios,189
planeta,189
venimos,189
mirar,189
pierde,189
demostrar,189
reparto,189
observar,189
alquileres,189
street,189
sentencia,189
septiembre,189
influencia,189
economistas,189
práctica,189
monetario,188
determinados,188
combatir,188
imagino,188
barril,188
utiliza,188
and,188
22,188
correcto,188
ocurriendo,188
salvador,187
basta,187
humana,187
club,187
ojalá,187
crean,187
unidas,187
máster,187
escuela,186
década,186
comentar,186
circunstancias,186
sensación,186
seguimos,186
terrorismo,186
salida,185
inicio,185
centros,185
podían,185
factores,185
límite,184
pongo,184
intenta,184
continuación,184
estadounidenses,184
similar,184
presencia,184
creado,184
400,183
disposición,183
oficina,183
irene,183
norte,183
grado,183
expectativas,183
debido,182
acaban,182
piensan,182
patriotas,182
co2,182
imagínate,182
negociación,182
rebaja,181
anuncio,181
hicimos,181
supongo,181
imaginar,181
wall,181
santa,181
funcionarios,180
medias,180
fuertes,180
fuentes,180
excusa,180
opciones,180
pidiendo,180
cambios,180
apoyar,180
economista,180
factor,179
lengua,179
condenado,179
pérdida,179
decide,179
dé,179
básicos,179
incertidumbre,178
dirán,178
aprobado,178
decirle,178
casualidad,178
escuchando,177
generando,177
consumidores,177
mediante,177
pactos,177
destrucción,176
hablaba,176
monedas,176
pide,176
autoridades,176
encontrado,176
fundación,176
verdes,176
premio,176
tendencia,176
necesidades,175
tesis,175
desgraciadamente,175
vende,175
escuchen,175
sencilla,175
burbuja,175
vicepresidenta,175
jugar,175
foco,174
asumir,174
lógico,174
autónoma,174
positivo,173
vascos,173
daba,173
película,173
aplicación,173
título,173
ritmo,173
votación,173
conforme,173
puente,173
salía,173
ex,173
rajoy,173
yendo,173
suiza,172
conozco,172
castillo,172
hablaremos,172
terrorista,172
parecido,172
damos,172
to,172
individuos,172
silencio,172
estudiar,171
acaso,171
formar,171
ejercicio,171
2008,171
chica,171
pretenden,171
muertos,171
convencido,171
franco,170
explicado,170
causas,170
reconocer,170
puso,170
derechas,170
parecía,170
sexuales,170
ofrece,170
alcanzar,170
pagos,170
dedica,169
decidir,169
actos,169
entendemos,169
establecer,169
corte,169
terroristas,169
encuentro,169
parlamentario,169
ruina,169
américa,169
primeras,169
preocupación,169
tragedia,168
llegando,168
corazón,168
libres,168
material,168
anuales,168
condición,168
típico,168
elon,168
normas,168
famoso,168
juzgado,167
edición,167
perdiendo,167
propaganda,167
japón,167
plantear,167
cambia,167
estabilidad,167
cometido,167
cientos,167
corriente,167
fernández,167
vendiendo,166
felipe,166
republicana,166
cadena,166
teléfono,166
dudas,166
escuchamos,166
populares,166
gabriel,166
reformas,166
evidencia,166
vota,165
hipoteca,165
torres,165
continuamente,165
colegio,165
ganaderos,165
sindicatos,165
generaciones,165
menas,165
esencialmente,165
familiares,165
botella,164
llevaba,164
ojos,164
auténtico,164
suministro,164
ciudadanía,164
incrementado,164
índice,164
excepción,164
empleos,164
nacionalista,164
leído,163
carácter,163
relativamente,163
rueda,163
pasan,163
rumbo,163
salga,163
consiste,163
chinos,163
debates,163
etapa,163
eur,163
situaciones,163
errores,162
comentarios,162
emergencia,162
exterior,162
posibles,162
vivo,162
obrero,162
cuota,162
señoría,162
útil,162
pagas,162
cortes,162
traer,161
mercadona,161
condena,161
foro,161
comité,161
inmensa,161
bandera,161
actitud,161
agradecer,161
extraordinario,161
agricultura,160
aceptar,160
quieras,160
individuo,160
estudio,160
abogado,159
alianza,159
anti,159
turismo,159
mantiene,159
iniciativa,159
presentado,159
tradición,159
esperando,159
web,159
políticamente,158
qu,158
mandato,158
mafia,158
mentir,158
pilar,158
elegir,158
veis,158
malas,158
muerto,158
electorales,158
pico,158
pones,158
comprado,158
seguido,158
bienvenido,158
cargos,158
aprender,157
reciente,157
lógica,157
defendemos,157
fijaos,157
reacción,157
determinadas,157
extraordinaria,157
ofrecer,156
completo,156
marroquín,156
wolverine,156
auto,156
tirar,156
votando,156
diferencias,156
proyectos,156
comunicado,155
mazón,155
familiar,155
muestra,155
dedicado,155
vengo,155
sucediendo,155
pasta,155
convertir,155
alemán,155
sol,155
élites,155
fundamentales,154
vos,154
explicación,154
verano,154
directa,154
diversos,154
tesoro,154
urnas,154
cuantos,153
ciencia,153
llegada,153
decirles,153
filosofía,153
desarrollar,153
penal,153
sufrido,153
sacado,153
tercero,153
misión,153
chat,153
subvenciones,153
independiente,153
inmediatamente,153
vidas,152
código,152
75,152
in,152
página,152
conmigo,152
software,152
transición,152
2012,152
explicaciones,152
dignidad,152
comida,152
números,152
bases,152
autoridad,152
sepa,151
ocupación,151
propósito,151
comentado,151
consideran,151
espectacular,151
cayendo,151
trasladar,151
numerosas,151
quitar,151
ilegalmente,151
feminista,151
candidatos,151
agosto,151
álvaro,151
resolver,150
estilo,150
recientemente,150
construcción,150
asamblea,150
representantes,150
barato,150
autónomo,150
acabado,150
organizaciones,150
competencias,149
vean,149
médicos,149
gordo,149
vio,149
veía,149
utilizan,149
blanco,149
vimos,149
tomado,149
generan,149
pareja,149
evento,149
deje,149
democrático,149
puertas,148
quedó,148
distinta,148
raíz,148
criticar,148
gestionar,148
hará,148
plantea,148
uy,148
lograr,148
intelectual,148
nucleares,148
expertos,148
hogares,148
marco,148
negro,147
sevilla,147
ocultar,147
manda,147
google,147
asuntos,147
tonto,147
hacerse,147
manifiesto,147
gracia,147
ahorrar,147
terminado,147
buscando,147
refiero,147
presentación,147
rejón,147
auténtica,146
mínima,146
venden,146
mente,146
ideológico,146
digitales,146
vuelva,146
acudir,146
suceder,146
supermercados,146
roma,146
engañar,146
colegios,145
local,145
rallo,145
demuestra,145
complejo,145
cuántas,145
fundamentalmente,145
señalar,145
escaños,145
pensaba,145
eduardo,145
reducido,145
permanente,145
socio,145
orgullo,145
entran,145
150,144
delincuentes,144
contando,144
ocho,144
peligroso,144
romper,144
afiliados,144
responde,144
íbamos,144
cu,143
insultos,143
potencial,143
criminales,143
titular,143
pensamos,143
suena,143
fracaso,143
decías,143
máximos,143
polémica,143
fuente,143
regionales,143
suma,143
acabó,143
riesgos,142
institución,142
atacar,142
of,142
26,142
barbaridad,142
fango,142
inocencia,142
estable,142
probable,142
ponerse,142
endeudamiento,142
víctima,141
montar,141
dejó,141
vehículos,141
manifestaciones,141
lógicamente,141
conversación,141
mercancías,141
áfrica,141
interanual,141
whatsapp,141
consigue,141
fernando,141
reyes,141
futuros,141
unidades,140
privadas,140
llevando,140
cambiando,140
deberíamos,140
extremadura,140
regulación,140
conocen,140
desastre,140
45,140
loco,140
65,139
subyacente,139
compartir,139
resumen,139
cuento,139
sostenible,139
alcalde,139
plataforma,139
gobernando,139
colectivo,139
ambiente,139
irse,139
queréis,139
cumple,138
devolver,138
denunciando,138
sanitario,138
bajada,138
dieron,138
históricos,138
exclusiva,138
sorpresa,138
pido,137
necesaria,137
presenta,137
próximas,137
versión,137
jueves,137
recuerda,137
revés,137
infraestructuras,136
definición,136
fija,136
turno,136
publicó,136
municipios,136
tranquilo,136
francesa,136
obras,136
tocar,136
tribuna,136
constante,136
vicepresidente,136
solidaridad,136
graves,136
comunismo,135
tremendamente,135
legislación,135
colaboración,135
ideológica,135
defienden,135
rusa,135
empecemos,135
policías,135
empezaron,135
renovables,135
pasivos,135
división,135
disparado,135
frenar,135
miseria,134
corrupto,134
lados,134
28,134
bono,134
poca,134
vigor,134
decíamos,134
ganando,134
elementos,134
legales,134
dificultades,133
entrega,133
edificio,133
señorías,133
mafias,133
casado,133
médico,133
creciente,133
tweet,133
históricamente,133
robo,133
meloni,133
conservadores,133
operaciones,133
complutense,133
militares,133
olvidar,133
miércoles,133
drogas,132
teresa,132
variable,132
